City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Avarua,CK,-21.2078,-159.775,69.85,78,75,3.44,light rain
80,Kavaratti,IN,10.5669,72.642,81.32,82,100,19.82,overcast clouds
81,Iskateley,RU,67.6803,53.1512,64.96,52,58,15.32,broken clouds
82,Gondanglegi,ID,-7.7479,112.0132,72.72,86,17,10.94,few clouds
83,Torbay,CA,47.6666,-52.7314,69.28,76,75,10.36,broken clouds
84,Port-Cartier,CA,50.0334,-66.8654,61.75,51,64,14.92,broken clouds
85,Punta Arenas,CL,-53.15,-70.9167,32.11,64,20,12.66,few clouds
86,Provideniya,RU,64.3833,-173.3,47.79,96,100,5.95,overcast clouds
87,Narsaq,GL,60.9167,-46.05,55.62,78,100,3.85,overcast clouds
88,Ushuaia,AR,-54.8,-68.3,28.06,86,100,18.41,light snow
89,Amlame,TG,7.4667,0.9,74.97,91,100,5.66,moderate rain
90,Myre,NO,69.1036,15.9492,57.02,79,100,4.32,overcast clouds
91,Kirakira,SB,-10.4544,161.9205,78.64,82,13,6.15,few clouds
92,Jaca,ES,42.569,-0.5499,93.02,33,0,4.59,clear sky
93,Olafsvik,IS,64.8945,-23.7142,51.13,93,100,21.3,overcast clouds
94,Praia Da Vitoria,PT,38.7333,-27.0667,74.75,78,20,9.08,few clouds
95,Jamestown,US,42.097,-79.2353,75.94,61,40,9.22,scattered clouds
96,Sheridan,US,44.8333,-106.9173,74.7,60,0,5.75,clear sky
97,Okha,RU,53.5739,142.9478,63.05,80,1,11.63,clear sky
98,Quelimane,MZ,-17.8786,36.8883,75.15,69,20,6.91,few clouds
99,Dourbali,TD,11.8091,15.8632,87.28,43,98,5.28,overcast clouds
100,Bonfim,BR,3.0833,-59.95,84.47,67,42,4.74,scattered clouds
101,Port Elizabeth,ZA,-33.918,25.5701,79.11,26,0,11.5,clear sky
102,Cabo San Lucas,MX,22.8909,-109.9124,90.18,60,40,6.91,scattered clouds
103,Oktyabrskoye,RU,43.0645,44.7417,75.34,73,75,6.71,broken clouds
104,Yumen,CN,40.2833,97.2,82.89,12,0,7.38,clear sky
105,Kariapatti,IN,9.6751,78.0999,86.52,54,75,12.66,moderate rain
106,Skjervoy,NO,70.0311,20.9714,57.2,78,98,6.15,overcast clouds
107,Eston,CA,51.1501,-108.7514,73.92,52,6,12.46,clear sky
108,Rio Gallegos,AR,-51.6226,-69.2181,30.25,80,0,13.8,clear sky
109,Atuona,PF,-9.8,-139.0333,76.62,82,25,19.86,scattered clouds
110,Kokoda,PG,-8.8785,147.7407,73.83,96,98,0.38,overcast clouds
111,Barrow,US,71.2906,-156.7887,42.82,87,0,13.8,clear sky
112,Iqaluit,CA,63.7506,-68.5145,38.93,86,20,5.75,few clouds
113,Cidreira,BR,-30.1811,-50.2056,64.94,81,100,14.27,light rain
114,Katsuura,JP,35.1333,140.3,75.58,91,100,16.73,overcast clouds
115,Kolokani,ML,13.5728,-8.0339,96.87,33,98,5.61,overcast clouds
116,Correntina,BR,-13.3433,-44.6367,83.53,27,0,10.22,clear sky
117,Kiunga,PG,-6.1219,141.2906,72.21,99,73,2.24,broken clouds
118,Masuri,KR,35.8488,128.1492,78.35,85,43,2.04,scattered clouds
119,Miyako,JP,39.6367,141.9525,68.25,95,91,8.97,overcast clouds
120,Hithadhoo,MV,-0.6,73.0833,82.65,75,26,6.38,scattered clouds
121,Luderitz,NA,-26.6481,15.1594,59.04,81,63,16.11,broken clouds
122,Chapais,CA,49.7834,-74.8492,56.98,43,13,6.82,few clouds
123,Dosso,NE,13.049,3.1937,98.13,32,56,10.2,broken clouds
124,Pisco,PE,-13.7,-76.2167,63.01,82,100,4.61,mist
125,Ponta Do Sol,PT,32.6667,-17.1,75.83,56,4,3.62,clear sky
126,Kirksville,US,40.1948,-92.5833,75.81,77,0,10.36,clear sky
127,Te Anau,NZ,-45.4167,167.7167,31.84,89,88,5.23,overcast clouds
128,Nikolskoye,RU,59.7035,30.7861,71.78,42,95,10.18,overcast clouds
129,Manjacaze,MZ,-24.7117,33.8828,68.58,69,49,3.94,scattered clouds
130,Tuktoyaktuk,CA,69.4541,-133.0374,50.0,100,100,9.22,fog
131,Yerbogachen,RU,61.2767,108.0108,58.48,63,98,4.47,overcast clouds
132,Esperance,AU,-33.8667,121.9,65.82,31,99,19.75,overcast clouds
133,Lorengau,PG,-2.0226,147.2712,81.25,80,100,10.74,overcast clouds
134,Tateyama,JP,34.9833,139.8667,79.11,91,100,15.3,overcast clouds
135,Poum,NC,-20.2333,164.0167,77.34,84,14,17.9,few clouds
136,Noumea,NC,-22.2763,166.4572,77.0,99,1,5.46,clear sky
137,Longyearbyen,SJ,78.2186,15.6401,46.24,61,20,19.57,few clouds
138,Lianyuan,CN,27.6883,111.6642,82.31,83,8,2.3,clear sky
139,Saint-Augustin,CA,51.226,-58.6502,62.51,71,81,11.27,broken clouds
140,Ballitoville,ZA,-29.539,31.2144,72.16,73,0,20.71,clear sky
141,Zyryanovsk,KZ,49.7386,84.2719,58.57,84,91,1.41,overcast clouds
142,Bengkulu,ID,-3.8004,102.2655,76.82,86,7,5.95,clear sky
143,Muros,ES,42.7762,-9.0603,86.09,36,14,6.04,few clouds
144,Port Macquarie,AU,-31.4333,152.9167,48.04,78,5,7.23,clear sky
145,Gat,IL,31.61,34.7642,87.4,35,0,11.72,clear sky
146,Bethel,US,41.3712,-73.414,80.96,53,0,11.5,clear sky
147,Tymovskoye,RU,50.8456,142.655,59.9,96,6,5.95,clear sky
148,Dunedin,NZ,-45.8742,170.5036,39.79,72,100,5.01,overcast clouds
149,Torva,EE,58.0028,25.935,63.95,55,87,11.18,overcast clouds
150,Husavik,IS,66.0449,-17.3389,54.79,69,93,11.05,overcast clouds
151,Alofi,NU,-19.0595,-169.9187,73.29,88,44,9.22,scattered clouds
152,Artigas,UY,-30.4,-56.4667,67.96,86,99,13.65,overcast clouds
153,East London,ZA,-33.0153,27.9116,68.94,68,0,6.91,clear sky
154,Salinas,US,36.6777,-121.6555,64.99,88,100,8.05,mist
155,Kodiak,US,57.79,-152.4072,53.11,94,100,14.97,overcast clouds
156,Hervey Bay,AU,-25.2986,152.8535,54.18,70,29,10.92,scattered clouds
157,Harper,LR,4.375,-7.7169,78.1,72,97,11.03,overcast clouds
158,Egvekinot,RU,66.3167,-179.1667,40.46,99,100,8.14,light rain
159,Ancud,CL,-41.8697,-73.8203,46.22,88,100,7.61,overcast clouds
160,Key Largo,US,25.0865,-80.4473,89.01,72,7,10.27,clear sky
161,Hualmay,PE,-11.0964,-77.6139,64.4,75,63,9.71,broken clouds
162,Manono,CD,-7.3,27.4167,89.11,19,16,3.98,few clouds
