City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Caravelas,BR,2022-07-09 00:38:36,-17.7125,-39.2481,69.8,89,0,3.67
1,Ponta Do Sol,PT,2022-07-09 00:38:36,32.6667,-17.1,69.12,60,4,2.13
2,Yellowknife,CA,2022-07-09 00:37:52,62.456,-114.3525,79.32,36,75,16.11
3,Puerto Ayora,EC,2022-07-09 00:38:36,-0.7393,-90.3518,71.55,90,29,5.01
4,Avarua,CK,2022-07-09 00:38:37,-21.2078,-159.775,77.05,57,40,14.97
5,Anadyr,RU,2022-07-09 00:38:37,64.75,177.4833,50.5,81,40,20.13
6,Zyryanka,RU,2022-07-09 00:38:37,65.75,150.85,48.54,92,100,21.21
7,Victor Harbor,AU,2022-07-09 00:38:38,-35.5667,138.6167,54.0,69,100,1.01
8,Hithadhoo,MV,2022-07-09 00:38:38,-0.6,73.0833,80.46,80,100,5.1
9,Kuopio,FI,2022-07-09 00:38:37,62.8924,27.677,58.95,77,75,4.61
10,Upernavik,GL,2022-07-09 00:38:38,72.7868,-56.1549,36.46,97,100,16.11
11,Cape Town,ZA,2022-07-09 00:36:13,-33.9258,18.4232,61.12,76,0,5.75
12,Saint-Philippe,RE,2022-07-09 00:38:38,-21.3585,55.7679,67.59,78,86,14.97
13,Busselton,AU,2022-07-09 00:38:39,-33.65,115.3333,63.88,86,100,26.84
14,Homer,US,2022-07-09 00:38:39,59.6425,-151.5483,59.77,83,100,10.36
15,Straubing,DE,2022-07-09 00:38:39,48.8833,12.5667,56.12,72,11,0.56
16,Bluff,NZ,2022-07-09 00:38:39,-46.6,168.3333,44.8,78,100,29.3
17,Padang,ID,2022-07-09 00:38:40,-0.9492,100.3543,73.45,77,76,1.57
18,Kapaa,US,2022-07-09 00:38:40,22.0752,-159.319,85.98,68,40,14.97
19,Tigil,RU,2022-07-09 00:38:40,57.8,158.6667,75.61,64,89,18.79
20,Bethel,US,2022-07-09 00:35:31,41.3712,-73.414,77.59,80,100,2.46
21,Barrow,US,2022-07-09 00:38:40,71.2906,-156.7887,44.62,81,0,11.5
22,Torbay,CA,2022-07-09 00:35:30,47.6666,-52.7314,57.97,85,40,5.75
23,Klaksvik,FO,2022-07-09 00:38:41,62.2266,-6.589,50.92,86,67,15.93
24,Saldanha,ZA,2022-07-09 00:38:41,-33.0117,17.9442,46.45,54,6,9.37
25,Mataura,NZ,2022-07-09 00:38:41,-46.1927,168.8643,44.47,94,100,7.67
26,Mahebourg,MU,2022-07-09 00:38:42,-20.4081,57.7,67.24,65,48,21.7
27,Hilo,US,2022-07-09 00:38:11,19.7297,-155.09,88.29,72,100,12.66
28,Atuona,PF,2022-07-09 00:38:42,-9.8,-139.0333,78.19,77,14,15.97
29,Shache,CN,2022-07-09 00:38:42,38.4167,77.2406,77.72,34,73,10.45
30,San Ramon De La Nueva Oran,AR,2022-07-09 00:38:43,-23.1322,-64.326,60.64,75,64,2.98
31,Castro,BR,2022-07-09 00:38:43,-24.7911,-50.0119,56.52,82,95,4.65
32,Harrismith,ZA,2022-07-09 00:38:43,-28.2728,29.1295,40.37,34,0,2.51
33,Albany,US,2022-07-09 00:35:52,42.6001,-73.9662,77.41,65,100,6.62
34,La Ronge,CA,2022-07-09 00:38:43,55.1001,-105.2842,64.65,88,100,10.36
35,Sao Joao Da Barra,BR,2022-07-09 00:38:44,-21.6403,-41.0511,70.93,85,0,12.5
36,Norman Wells,CA,2022-07-09 00:38:44,65.282,-126.8329,86.04,30,75,12.66
37,Ilulissat,GL,2022-07-09 00:38:44,69.2167,-51.1,48.22,76,0,13.8
38,Leningradskiy,RU,2022-07-09 00:38:44,69.3833,178.4167,62.19,57,94,18.34
39,Lavrentiya,RU,2022-07-09 00:38:45,65.5833,-171.0,52.54,79,68,9.44
40,Kargopol,RU,2022-07-09 00:38:45,61.5071,38.9456,50.7,80,21,3.67
41,Marzuq,YE,2022-07-09 00:38:45,14.4,46.4667,74.46,47,100,14.52
42,Necochea,AR,2022-07-09 00:38:46,-38.5473,-58.7368,51.4,38,100,18.1
43,Souillac,MU,2022-07-09 00:38:46,-20.5167,57.5167,69.28,72,22,20.87
44,Bulgan,MN,2022-07-09 00:38:46,48.8125,103.5347,59.16,66,6,3.44
45,Cockburn Town,TC,2022-07-09 00:38:46,21.4612,-71.1419,82.36,74,40,13.8
46,Caravelas,BR,2022-07-09 00:38:36,-17.7125,-39.2481,69.8,89,0,3.67
47,Ponta Do Sol,PT,2022-07-09 00:38:36,32.6667,-17.1,69.12,60,4,2.13
48,Yellowknife,CA,2022-07-09 00:37:52,62.456,-114.3525,79.32,36,75,16.11
49,Puerto Ayora,EC,2022-07-09 00:38:36,-0.7393,-90.3518,71.55,90,29,5.01
50,Avarua,CK,2022-07-09 00:38:37,-21.2078,-159.775,77.05,57,40,14.97
51,Anadyr,RU,2022-07-09 00:38:37,64.75,177.4833,50.5,81,40,20.13
52,Zyryanka,RU,2022-07-09 00:38:37,65.75,150.85,48.54,92,100,21.21
53,Victor Harbor,AU,2022-07-09 00:38:38,-35.5667,138.6167,54.0,69,100,1.01
54,Hithadhoo,MV,2022-07-09 00:38:38,-0.6,73.0833,80.46,80,100,5.1
55,Kuopio,FI,2022-07-09 00:38:37,62.8924,27.677,58.95,77,75,4.61
56,Upernavik,GL,2022-07-09 00:38:38,72.7868,-56.1549,36.46,97,100,16.11
57,Cape Town,ZA,2022-07-09 00:36:13,-33.9258,18.4232,61.12,76,0,5.75
